Hindi,Garhwali,Roman_Garhwali,English
आप कैसे हैं?,तु कना छु?,tu kana chu?,How are you?
मैं ठीक हूँ।,मी ठीक छु।,mi theek chu.,I am fine.
तुम कहाँ जा रहे हो?,तु क्हैं जालु?,tu khain jalu?,Where are you going?
मुझे पानी चाहिए।,मेथै पाणी चाणु छ।,methai paani chaanu cha.,I need water.
यह क्या है?,यै क्सु छ?,yai ksu cha?,What is this?
आज मौसम अच्छा है।,आज मौसुम नीकु छ।,aaj mausum neeku cha.,The weather is nice today.
आपका नाम क्या है?,तेरु नाम क्सु छ?,teru naam ksu cha?,What is your name?
मैं बाजार जा रहा हूँ।,मी बाजार जालु।,mi bazaar jalu.,I am going to the market.
तुम कब आओगे?,तु कति आलों?,tu kati aalo?,When will you come?
मैं खाना खा रहा हूँ।,मी खै रैल्यु।,mi khai railyu.,I am eating food.
क्या तुम मेरी मदद कर सकते हो?,तु मेरी मदत करि सकलु?,tu meri madat kari saklu?,Can you help me?
मुझे नहीं पता।,मेथै नि पता।,methai ni pata.,I don't know.
कितने बजे हैं?,कति बाज गे?,kati baj ge?,What time is it?
मैं अभी व्यस्त हूँ।,मी अभी ब्यास्त छु।,mi abhi byast chu.,I am busy right now.
मैं घर पर हूँ।,मी घार मा छु।,mi ghar ma chu.,I am at home.
तुम ठीक हो?,तु ठीक छु?,tu theek chu?,Are you okay?
यह बहुत अच्छा है।,यै खूब नीकु छ।,yai khoob neeku cha.,This is very good.
मुझे यह पसंद है।,मेथै यै पसंद छ।,methai yai pasand cha.,I like this.
कृपया इंतज़ार करें।,जरा रुको।,jara ruko.,Please wait.
मुझे देर हो रही है।,मेथै देर लग्यु।,methai der lagyu.,I am getting late.
यहाँ आओ।,इजा आ।,yakh aa.,Come here.
वहाँ जाओ।,उजा जा।,uja ja.,Go there.
दरवाज़ा खोलो।,दरौजा खोल।,darauja khol.,Open the door.
लाइट बंद करो।,लाइट बौंणो।,light bonno.,Turn off the light.
क्या तुमने खाना खाया?,तु खै ल्यालो?,tu khai lyaalo?,Did you eat food?
मैं बाद में आऊँगा।,मी बाद मैं आल्यु।,mi baad mai aalyu.,I will come later.
हम कल मिलेंगे।,हम कल भेटुला।,ham kal bhetula.,We will meet tomorrow.
मुझे यह किताब चाहिए।,मेथै यै किताब चाणु छ।,methai yai kitaab chaanu cha.,I need this book.
तुम क्या कर रहे हो?,तु क्सु करि रैल्यु?,tu ksu kari railyu?,What are you doing?
मैं पढ़ाई कर रहा हूँ।,मी पढ़ि रैल्यु।,mi padhi railyu.,I am studying.
यह मेरा फोन है।,यै मीरो फोन छ।,yai meero phone cha.,This is my phone.
क्या तुम सुन रहे हो?,तु सुणि रैल्यु?,tu suni railyu?,Are you listening?
मुझे समझ नहीं आया।,मेथै समझ नि आयो।,methai samajh ni aayo.,I did not understand.
धीरे बोलो।,धीरे बोल।,dheere bolo.,Speak slowly.
कृपया दोहराओ।,फेरिक बोल।,pherik bolo.,Please repeat.
यह कितने का है?,यै कति को छ?,yai kati ko cha?,How much is this?
मैं खरीदना चाहता हूँ।,मी यै खरीदणा चाउ।,mi yai kharidna chau.,I want to buy this.
तुम कहाँ रहते हो?,तु क्हैं रहालु?,tu khain rahaalu?,Where do you live?
मैं भारत से हूँ。,मी भारत की छु।,mi Bharat ki chu.,I am from India.
मुझे पानी लाना है।,मेथै पाणी ल्याणा छ।,methai paani lyaana cha.,I need to bring water.
क्या तुम तैयार हो?,तु तयार छु?,tu tayaar chu?,Are you ready?
चलो चलते हैं।,"चा, चलूँ।","cha, chalun.",Let's go.
मुझे भूख लगी है।,मेथै भूख लागी गे।,methai bhukh lagi ge.,I am hungry.
तुम्हें क्या चाहिए?,तेरै क्सु चाणु छ?,terai ksu chaanu cha?,What do you need?
मैं तुम्हें बाद में कॉल करूँगा।,मी तैक बाद मैं फोन करल्यु।,mi taak baad mai phone karlyu.,I will call you later.
मैं यहाँ नया हूँ।,मी इजा नौलो छु।,mi ija naulo chu.,I am new here.
मुझे मदद की ज़रूरत है।,मेथै मदत की जरूरत छ।,methai madat ki jarurat cha.,I need help.
सब ठीक है।,सब ठीक छ।,sab theek cha.,Everything is fine.
धन्यवाद।,धन्यबाद।,dhanaybaad.,Thank you.
